,NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,PROP_FREIGHT,CHARTER_PAX,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,OP_EXPENSES,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION,YEAR,QUARTER,Unnamed: 18
510,-3864.13,-13004.68,19238.29,0.0,0.0,0.0,3.4,19241.69,14740.68,7476.83,1603.33,2352.52,32246.37,G7,GoJet Airlines LLC d/b/a United Express,D,2020,3,
511,-3723.21,-4014.76,0.0,0.0,0.0,147.4,0.0,147.4,3.3,123.64,0.0,71.12,4162.16,XP,XTRA Airways,D,2020,2,
512,-3296.47,-3291.64,0.0,0.0,0.0,4664.95,0.0,4664.95,4612.87,897.01,405.15,362.74,7956.59,N8,National Air Cargo Group Inc d/ba National Airlines,D,2020,1,
513,-3280.61,-3275.78,0.0,0.0,0.0,0.0,0.0,25121.93,22556.98,1889.3,0.0,1661.98,28397.71,N8,National Air Cargo Group Inc d/ba National Airlines,I,2020,1,
514,-3227.79,22034.92,132812.32,347.89,4739.94,0.0,10424.45,156966.42,35395.77,11791.08,19174.33,22737.25,134931.5,HA,Hawaiian Airlines Inc.,P,2020,1,
515,-2708.0,-3143.0,104588.0,0.0,1120.0,40.0,886.0,121514.0,49259.0,13940.0,10858.0,24725.0,124657.0,WN,Southwest Airlines Co.,L,2020,1,
516,-2677.48,-2775.88,2988.38,0.0,0.0,0.0,0.13,2990.93,2237.02,944.47,204.18,893.06,5766.81,MQ,Envoy Air,L,2020,2,
517,-2643.69,-5509.24,35969.58,0.0,0.0,0.0,206.92,73252.69,37983.35,5102.88,5023.67,7100.69,78761.92,NK,Spirit Air Lines,L,2020,1,
518,-2565.23,-10877.29,5648.98,0.0,0.0,0.0,0.0,8287.97,4989.46,1938.45,0.0,0.0,19165.27,3M,Silver Airways,D,2020,3,
519,-2523.01,-2461.21,,,,,,8264.04,3425.52,2966.16,,,10725.25,KLQ,Kalitta Charters II,D,2020,1,
520,-2464.72,-1589.18,4945.42,0.0,0.0,-0.75,0.0,5933.1,2660.58,888.92,,,7522.28,3M,Silver Airways,I,2020,1,
521,-2296.87,-2277.46,3762.6,0.0,0.0,0.0,0.26,3764.42,2200.39,1056.56,186.41,973.73,6041.88,MQ,Envoy Air,L,2020,3,
